Rating,1,2,3,4,5
1,105978,316584,363002,116583,11929
2,32992,446572,1142575,364908,20455
3,15458,365076,3156671,2076954,101963
4,6846,97780,1873465,4263629,443145
5,4304,27274,437921,2616260,1495261
