Train Results,Validation Results,Test Results
0.7920112013816833,0.8673421144485474,0.8766560554504395
0.791035532951355,0.8604710102081299,0.8704968094825745
0.7915672063827515,0.8598690032958984,0.8705577254295349
0.7920060753822327,0.8597510457038879,0.8708447217941284
0.7923036217689514,0.8598504662513733,0.8706392049789429
0.7924935221672058,0.8596154451370239,0.8707457184791565
0.7927225232124329,0.859829843044281,0.8707400560379028
0.7928684949874878,0.8597202301025391,0.8714011311531067
0.7930091619491577,0.8597261309623718,0.8716686367988586
0.793129026889801,0.8598661422729492,0.8716921806335449
0.793249249458313,0.8598790764808655,0.8720072507858276
0.7932987809181213,0.8598723411560059,0.8718445897102356
0.793448805809021,0.8598904013633728,0.8724402785301208
0.793458104133606,0.859925389289856,0.8722224831581116
0.7935328483581543,0.8600221872329712,0.8725806474685669
0.7936476469039917,0.8600012063980103,0.872616171836853
0.793695867061615,0.8600069880485535,0.8727098107337952
0.7937917113304138,0.8601503372192383,0.8731290698051453
0.7938056588172913,0.8602674007415771,0.8728875517845154
0.7938538193702698,0.8600658774375916,0.8731994032859802
