Alpha,Train RMSE,Validation RMSE,Time (s)
0.001,0.8722585439682007,0.8867834210395813,2198.472466468811
0.01,0.8654744625091553,0.8886109590530396,2199.0225558280945
0.1,0.8625210523605347,0.8898987174034119,2172.9269025325775
1.0,0.8623965382575989,0.8899377584457397,2214.830879211426
