Batch Size,Train RMSE,Validation RMSE,Time (s)
8,0.8650044798851013,0.8884592056274414,3975.25803899765
32,0.8655540943145752,0.8884865045547485,2758.7372748851776
128,0.8665788173675537,0.8886122107505798,2161.4986855983734
512,0.8706352114677429,0.8886420726776123,2050.177144765854
