Number of Factors,Train RMSE,Validation RMSE,Time (s)
1,0.9081260561943054,0.9271051287651062,2141.3767454624176
2,0.8662977814674377,0.8886114954948425,2251.5773956775665
4,0.8350438475608826,0.8692485690116882,3293.5457270145416
8,0.7933142185211182,0.8593857884407043,4508.674418449402
16,0.7422969937324524,0.8913057446479797,6476.630162477493
32,0.6761444807052612,0.9357812404632568,10970.993482112885
