Train Results,Validation Results,Test Results
0.7376754879951477,0.8213323354721069,0.826170027256012
0.7125629186630249,0.8064494729042053,0.8106414079666138
0.7127448916435242,0.8049976229667664,0.8092501759529114
0.7129660844802856,0.8043311238288879,0.8086354732513428
0.7130986452102661,0.8039349913597107,0.8083224892616272
0.7131918668746948,0.8036891222000122,0.8082410097122192
0.713257908821106,0.8035297989845276,0.8078617453575134
0.7133108973503113,0.8034595847129822,0.8077865242958069
0.7133471369743347,0.8033639192581177,0.807758092880249
0.7133854031562805,0.8033285140991211,0.8077571392059326
0.7134084105491638,0.8033152222633362,0.8076457977294922
0.7134339213371277,0.8032755851745605,0.8076412677764893
0.7134544253349304,0.8032560348510742,0.8076958656311035
0.7134684324264526,0.803281843662262,0.8078058958053589
0.7134864330291748,0.8032663464546204,0.8077688217163086
0.7134987115859985,0.803264856338501,0.8076537251472473
0.7135096192359924,0.8032509088516235,0.8076650500297546
0.7135184407234192,0.8032442331314087,0.8076833486557007
0.7135292887687683,0.8032633066177368,0.8077190518379211
0.7135363221168518,0.803255021572113,0.8077189326286316
