Batch Size,Train RMSE,Validation RMSE,Time (s)
8,0.8759952783584595,0.9305981993675232,8704.598990678787
32,0.8855717778205872,0.9178041815757751,7282.183534145355
128,0.8927338719367981,0.9191857576370239,6660.312232971191
512,0.894656777381897,0.9206045866012573,6440.58704996109
