Train Results,Validation Results,Test Results
0.8045663237571716,0.8564514517784119,0.8577505946159363
0.8018814921379089,0.8526617884635925,0.8541365265846252
0.8015334606170654,0.8519981503486633,0.8534026145935059
0.8013303875923157,0.8515061140060425,0.8529437184333801
0.8011928796768188,0.8511583805084229,0.85264652967453
0.8010686039924622,0.8509629368782043,0.8524059057235718
0.8009656071662903,0.850746750831604,0.8521777987480164
0.8008924126625061,0.8505497574806213,0.851977527141571
0.8008274435997009,0.8504197597503662,0.851850688457489
0.8007816076278687,0.8502625226974487,0.8516944050788879
0.8007258772850037,0.8502131700515747,0.8515723347663879
0.8006654977798462,0.8501076698303223,0.8514765501022339
0.8006150722503662,0.8499566316604614,0.851348340511322
0.8005719184875488,0.8498910665512085,0.8512619733810425
0.8005254864692688,0.8497827053070068,0.8511768579483032
0.8004879355430603,0.8497136831283569,0.8511165380477905
0.8004432916641235,0.8496028184890747,0.851007878780365
0.8003917336463928,0.8494706749916077,0.8509200215339661
0.8003680109977722,0.8494430184364319,0.8508736491203308
0.8003310561180115,0.8493996858596802,0.8508484363555908
