Rating,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
0.5,0,22564,13245,13242,11476,8718,5367,2392,886,313
1.0,0,18885,24030,30846,31441,24454,14254,6414,1963,594
1.5,0,3807,9833,17608,19862,15384,8526,3196,839,178
2.0,0,5105,17891,50999,84659,84393,53043,21740,5605,1266
2.5,0,1429,5458,23382,62247,81213,52878,18920,4050,719
3.0,0,2010,7692,34578,127141,294680,308002,148469,37225,6622
3.5,0,532,1760,7825,35486,131023,253596,159691,34606,4255
4.0,0,637,2017,8383,35758,140907,392129,498796,200124,32742
4.5,0,151,334,1283,4967,20345,76790,175846,130943,24389
5.0,0,341,685,2118,7399,26106,85106,202201,250098,136460
