Train Results,Validation Results,Test Results
0.05649689957499504,0.06046384572982788,0.06040698289871216
0.05631290376186371,0.06023058667778969,0.06017296761274338
0.056222982704639435,0.06011858209967613,0.06005925312638283
0.05616410821676254,0.060046035796403885,0.05998597294092178
0.056121259927749634,0.05999395251274109,0.05993283912539482
0.056087903678417206,0.05995098873972893,0.05989164859056473
0.05606035143136978,0.059917476028203964,0.05985797569155693
0.05603700131177902,0.05988916754722595,0.05982886627316475
0.05601687729358673,0.059864457696676254,0.05980423465371132
0.05599937215447426,0.059842683374881744,0.05978269502520561
0.05598371475934982,0.05982320383191109,0.059763696044683456
0.055969804525375366,0.05980592221021652,0.05974677577614784
0.05595703795552254,0.05979017913341522,0.05973060429096222
0.0559452585875988,0.059775903820991516,0.05971628054976463
0.05593426898121834,0.05976274982094765,0.05970332399010658
0.05592412129044533,0.05975105240941048,0.059691209346055984
0.05591457337141037,0.059739839285612106,0.059679824858903885
0.05590580403804779,0.05972914770245552,0.059669122099876404
0.055897507816553116,0.059719011187553406,0.05965939909219742
0.05588962510228157,0.059709686785936356,0.05965014547109604
