Run,Time Taken,Best Epoch,Train RMSE,Test RMSE
1,31.423701524734497,7,0.85913575,0.9337517
2,30.603266954421997,16,0.8583714,0.9355695
3,30.838366985321045,9,0.85859656,0.9346055
4,30.762171268463135,13,0.8586424,0.93532723
5,30.567500352859497,8,0.8589413,0.9344395
6,30.704352378845215,14,0.8583297,0.93451726
7,30.791990756988525,21,0.85815364,0.93568367
8,30.84874439239502,19,0.8581594,0.93506616
9,30.812909603118896,10,0.85852015,0.9351334
10,30.495948314666748,13,0.85890913,0.93379575
11,30.874346017837524,18,0.8583943,0.9341814
12,30.73258638381958,8,0.8590272,0.93366456
13,30.78873300552368,9,0.85874164,0.933757
14,30.703048944473267,23,0.8581925,0.935084
15,30.43831157684326,19,0.85820556,0.9344105
16,30.609189987182617,26,0.8581306,0.9363982
17,30.88974952697754,9,0.85881233,0.93453866
18,30.5112726688385,12,0.8590395,0.93387806
19,30.337002992630005,16,0.8585458,0.93432504
20,30.589340686798096,16,0.85825574,0.9344575
21,30.55226421356201,12,0.8584788,0.93443793
22,30.74081540107727,21,0.8581417,0.9348991
23,30.530313730239868,13,0.8584273,0.93482965
24,30.872480154037476,12,0.8584227,0.9348824
25,30.69330072402954,7,0.8587727,0.93370044
26,30.476969242095947,13,0.85837483,0.9360835
27,30.225046396255493,22,0.85820365,0.9357697
28,30.759482622146606,8,0.85874504,0.93376064
29,30.491267204284668,15,0.85868293,0.93579566
30,30.876787662506104,11,0.8588436,0.9352575
31,30.644224166870117,8,0.8591502,0.9344593
32,30.656376600265503,17,0.85820925,0.9345503
33,30.560694694519043,16,0.8582106,0.93474567
34,30.639637231826782,7,0.8594897,0.93354
35,30.61078429222107,9,0.8585686,0.93445945
36,30.629616498947144,21,0.8581767,0.9356531
37,30.6460018157959,19,0.85846484,0.9359749
38,30.848629474639893,18,0.85820705,0.93567437
39,30.53764796257019,15,0.85838294,0.9341435
40,30.37264323234558,10,0.85864836,0.93368286
41,30.570143699645996,11,0.85852325,0.93342596
42,30.530457735061646,9,0.8590678,0.93523014
43,30.676310777664185,17,0.85816574,0.93442553
44,30.072691917419434,25,0.8587493,0.93500215
45,30.610982179641724,11,0.8584969,0.93525565
46,30.750099182128906,10,0.85863,0.93426335
47,30.885287761688232,12,0.85835004,0.9356954
48,30.37527561187744,13,0.8587783,0.9343633
49,30.794804096221924,16,0.85827446,0.9346792
50,30.741828203201294,15,0.8586743,0.9353362
51,30.72848916053772,25,0.85815537,0.93572015
52,30.634291648864746,16,0.8583202,0.93507516
53,30.56282114982605,20,0.8581593,0.93584955
54,30.703647136688232,9,0.85872847,0.9343219
55,30.766188859939575,9,0.85854656,0.93494797
56,30.438244819641113,10,0.8585338,0.93386394
57,30.489550352096558,23,0.85816675,0.93498856
58,30.669361114501953,18,0.85824907,0.9353197
59,30.54657506942749,21,0.85818714,0.9355308
60,30.28542399406433,14,0.8583625,0.93488073
61,30.37777304649353,17,0.85827976,0.9355608
62,30.53635263442993,12,0.8585335,0.9350005
63,30.753093957901,6,0.8591131,0.9329182
64,30.50996994972229,15,0.85829395,0.9350679
65,30.437796592712402,14,0.8583605,0.93529314
66,30.752554178237915,14,0.85858536,0.9354697
67,30.720045566558838,21,0.8581369,0.9349132
68,30.69547176361084,16,0.85823697,0.9346643
69,30.647778272628784,21,0.8582351,0.93515325
70,30.73437523841858,14,0.85841715,0.93437886
71,30.484694719314575,21,0.85812885,0.9349989
72,30.712491273880005,11,0.8586002,0.9352738
73,30.52423667907715,11,0.8585614,0.9350211
74,30.463610649108887,11,0.8586043,0.9340391
75,30.58710479736328,20,0.8581607,0.9361952
76,30.759490966796875,15,0.85826325,0.93446684
77,30.517261505126953,8,0.8587032,0.9338092
78,30.759680032730103,16,0.8585021,0.9352933
79,30.77709722518921,11,0.85843,0.9354574
80,30.658653736114502,420,0.85770214,0.9414028
81,30.50325870513916,21,0.8581609,0.93494356
82,30.432922840118408,5,0.8595712,0.9322765
83,30.51771903038025,8,0.85906893,0.93306535
84,30.683923482894897,14,0.85891163,0.93335605
85,30.71978998184204,11,0.8584802,0.93406355
86,31.435543298721313,11,0.85889983,0.9347341
87,31.097519636154175,15,0.85833895,0.93589824
88,30.82566237449646,18,0.85830843,0.93545985
89,30.648622512817383,22,0.85855764,0.9358084
90,30.515946865081787,9,0.8589185,0.9342557
91,30.591774463653564,12,0.8587268,0.93527234
92,30.570114374160767,12,0.8588677,0.9342383
93,30.609193563461304,7,0.8588675,0.9346466
94,30.614288091659546,10,0.8588185,0.9347773
95,30.55154776573181,15,0.85857075,0.935183
96,30.60313105583191,9,0.8588371,0.93500304
97,30.610254049301147,10,0.8588534,0.93521327
98,30.523459434509277,8,0.85868543,0.9347768
99,30.27334451675415,8,0.85925645,0.9338844
100,30.6431245803833,17,0.85824674,0.93479663
