Train Results,Validation Results,Test Results
0.052006203681230545,0.05826269090175629,0.05838644877076149
0.05179256200790405,0.057952821254730225,0.058068085461854935
0.05168372020125389,0.0577930212020874,0.05790795758366585
0.05161105841398239,0.057686466723680496,0.057801440358161926
0.051557544618844986,0.05760834366083145,0.057722970843315125
0.051514916121959686,0.05754762142896652,0.05766192078590393
0.05147956311702728,0.05749703571200371,0.05760931223630905
0.05145017430186272,0.05745362117886543,0.05756592005491257
0.0514242984354496,0.05741571635007858,0.057528626173734665
0.05140092596411705,0.057381730526685715,0.05749357119202614
0.051380522549152374,0.05735235661268234,0.05746416002511978
0.05136183649301529,0.05732682719826698,0.0574372261762619
0.05134511739015579,0.05730297416448593,0.057412393391132355
0.05132937431335449,0.05728066340088844,0.057389259338378906
0.05131490156054497,0.05726024508476257,0.05736839026212692
0.05130120366811752,0.057241037487983704,0.05734914913773537
0.0512886680662632,0.05722346529364586,0.05733102187514305
0.05127689987421036,0.05720672011375427,0.05731429159641266
0.0512659065425396,0.057190801948308945,0.05729861184954643
0.05125568062067032,0.057175926864147186,0.057283297181129456
