num_factors,time_taken,best_epoch,train_RMSE,test_RMSE
1,28.00024652481079,11,0.8760451674461365,0.9595705270767212
2,30.419184684753418,11,0.8676830530166626,0.9739713072776794
4,35.5017409324646,11,2.3970813751220703,1.8670159578323364
6,39.24170732498169,11,7.345569133758545,3.6617696285247803
8,40.36780381202698,11,18.31892204284668,9.190770149230957
12,45.87524151802063,11,39.9308967590332,19.73727035522461
16,51.668344497680664,11,41.02695083618164,15.454587936401367
24,63.740386724472046,11,15.256651878356934,7.289752960205078
32,77.30460715293884,11,3.995408535003662,1.4926410913467407
48,106.14841175079346,11,1.4787404537200928,1.4772380590438843
64,124.94061088562012,11,1.819417119026184,1.7646316289901733
96,168.49971890449524,11,2.547353744506836,2.3961057662963867
128,218.24548864364624,11,3.3094213008880615,3.069159984588623
192,293.3768138885498,11,4.870133876800537,4.4640021324157715
256,379.5275421142578,11,6.460164546966553,5.892338275909424
