Run,Time Taken,Best Epoch,Train RMSE,Test RMSE
1,29.72426724433899,119,0.9180708,0.97021973
2,29.292850255966187,119,0.9275757,0.97867113
3,28.95850706100464,119,0.9186968,0.97027034
4,29.98628306388855,119,0.92767596,0.9804804
5,29.48169183731079,119,0.9281609,0.98328745
6,29.628957748413086,119,0.92069453,0.9727362
7,29.959196090698242,119,0.92178833,0.97247314
8,30.360819578170776,119,0.9339794,0.9806405
9,29.733400344848633,119,0.9229058,0.9767294
10,30.511703729629517,119,0.9204133,0.9748521
11,30.97988200187683,119,0.9310473,0.98799986
12,30.8314847946167,119,0.9293604,0.98236454
13,30.26639699935913,119,0.92575717,0.9865986
14,29.323933124542236,119,0.92821926,0.9798222
15,30.07172203063965,119,0.9173361,0.97015625
16,29.984310388565063,119,0.93764573,1.0012301
17,30.034515142440796,119,0.9378589,0.9911889
18,29.413600206375122,119,0.9181354,0.9671179
19,29.761040449142456,119,0.91823804,0.96701956
20,30.110395669937134,119,0.92314804,0.97622836
21,29.650681018829346,119,0.95433724,1.0106226
22,29.668715953826904,119,0.9232842,0.9744155
23,29.668684482574463,119,0.93350035,0.9926646
24,30.3565616607666,119,0.92338884,0.9814989
25,29.62591052055359,119,0.92979175,0.98175484
26,30.296147108078003,119,0.9219507,0.9720295
27,29.867517471313477,119,0.9326081,0.9795415
28,29.230774641036987,119,0.94675297,0.9998627
29,30.742655038833618,119,0.920366,0.97027886
30,29.612332582473755,119,0.9285051,0.9841981
31,30.24439573287964,119,0.92726666,0.9849917
32,30.52244782447815,119,0.9164974,0.9608772
33,30.122557163238525,119,0.92459166,0.97749245
34,29.92863440513611,119,0.9329788,0.9828998
35,29.926921844482422,119,0.92081475,0.9748017
36,29.118984699249268,119,0.9284591,0.97896045
37,29.581283807754517,119,0.9245316,0.97433954
38,30.792400121688843,119,0.9232123,0.97693014
39,30.02388620376587,119,0.92162967,0.9694877
40,29.97901725769043,119,0.9218576,0.9739672
41,30.485395669937134,119,0.92723083,0.97682446
42,29.722000122070312,119,0.9162195,0.9684198
43,29.94483995437622,119,0.92417145,0.97367483
44,29.90572166442871,119,0.9242802,0.9738837
45,29.490404844284058,119,0.9358953,0.98283553
46,29.99662160873413,119,0.92544764,0.978574
47,29.982452392578125,119,0.9343639,0.9872696
48,29.925007581710815,119,0.92413807,0.97973263
49,29.640981674194336,119,0.93172985,0.9857895
50,29.383390188217163,119,0.9195109,0.9728039
51,29.891472816467285,119,0.919876,0.9714873
52,30.23616647720337,119,0.9247413,0.97687817
53,29.820629835128784,119,0.91831267,0.97464734
54,30.036257028579712,119,0.9246214,0.97421795
55,29.6054744720459,119,0.92749965,0.98111147
56,30.0153911113739,119,0.9453287,0.9961295
57,30.102402687072754,119,0.9241299,0.9775975
58,29.729032039642334,119,0.9256477,0.98028576
59,29.658851623535156,119,0.92997426,0.9852932
60,29.659558296203613,119,0.9377238,0.9917884
61,30.061535120010376,119,0.92236936,0.9763946
62,30.459712505340576,119,0.92090064,0.9741031
63,31.971596479415894,119,0.93320537,0.98711145
64,31.88910698890686,119,0.9255732,0.98144096
65,31.127540588378906,119,0.9292224,0.9842259
66,30.53842854499817,119,0.9208605,0.9708949
67,30.149697303771973,119,0.9179666,0.97295964
68,30.360947370529175,119,0.9279312,0.97725433
69,30.17855191230774,119,0.9205581,0.97110033
70,29.74020504951477,119,0.9318317,0.98270094
71,30.210514307022095,119,0.92081684,0.9709176
72,30.016658782958984,119,0.93306077,0.9840687
73,31.072426080703735,119,0.928139,0.9827204
74,30.13915777206421,119,0.91754204,0.9709107
75,31.172359228134155,119,0.95100266,0.9930824
76,30.20232844352722,119,0.92458606,0.97355807
77,30.21144199371338,119,0.92980415,0.98304075
78,30.17366075515747,119,0.9191149,0.9730398
79,30.290806770324707,119,0.9192543,0.97049266
80,30.897546529769897,119,0.9218578,0.9741673
81,29.72020959854126,119,0.9268218,0.983928
82,30.24951457977295,119,0.9228299,0.9763198
83,30.64064335823059,119,0.93381804,0.98517334
84,32.01280236244202,119,0.9318623,0.9863858
85,31.24070930480957,119,0.92007095,0.97454274
86,31.138263463974,119,0.92775375,0.98001504
87,30.0253267288208,119,0.9315851,0.98028076
88,31.483288764953613,119,0.9267808,0.9767123
89,30.50304651260376,119,0.9268418,0.9769968
90,32.117435693740845,119,0.93183,0.9911395
91,29.730018138885498,119,0.92189217,0.97652996
92,30.15986394882202,119,0.9203788,0.9721898
93,30.019714832305908,119,0.9208351,0.97162896
94,30.355626106262207,119,0.9449107,0.99082804
95,30.24837875366211,119,0.92347354,0.97830665
96,29.30384111404419,119,0.9266085,0.9765522
97,29.98087978363037,119,0.925711,0.9753305
98,30.19411540031433,119,0.93385714,0.9849424
99,30.65736985206604,119,0.93885255,0.9912851
100,30.119420289993286,119,0.9379207,0.98924917
