num_factors,time_taken,best_epoch,train_RMSE,test_RMSE
1,29.404526233673096,29,0.9774062037467957,0.9871792793273926
2,30.983917474746704,29,0.9423202872276306,0.9774631261825562
4,39.81208515167236,29,0.8916327357292175,0.9728214740753174
6,47.48173475265503,29,0.8531560897827148,0.9899159669876099
8,55.51761746406555,26,0.8407629132270813,1.0176891088485718
12,71.36442232131958,29,0.8146957159042358,1.0124446153640747
16,84.9119164943695,29,0.8036726117134094,0.9812456369400024
24,112.69932246208191,5,0.7959222197532654,0.9695847034454346
32,139.59570622444153,3,0.8261561989784241,0.9851220846176147
48,212.40175819396973,5,0.8147506713867188,0.9769843220710754
64,269.32465863227844,7,0.7653805613517761,0.9772245287895203
96,389.8033335208893,7,0.7496024966239929,0.9748771786689758
128,504.097172498703,5,0.7851277589797974,0.9754831790924072
192,693.1879231929779,8,0.7220096588134766,0.9681445360183716
256,892.8517889976501,6,0.7489981055259705,0.9678175449371338
